evaluation_id,inscription_id,apprenant_id,formation_id,intervenant_id,date_evaluation,note_globale,note_contenu,note_intervenant,note_plateforme,note_rapport_qualite_prix,commentaire,recommande,nps_score
135,135,26,6,2,2025-05-20,5,5,5,5,5,Power BI niveau expert. Sarah continue de nous épater par sa maîtrise technique et pédagogique.,Oui,10
136,136,30,5,5,2025-05-22,4,4,5,4,5,Marketing digital solide. Les stratégies publicitaires enseignées sont directement applicables.,Oui,8
137,137,34,8,6,2025-05-24,4,4,4,4,4,Formation entrepreneuriat de qualité. Angélique m'a aidé à structurer mon business plan.,Oui,8
139,139,42,10,7,2025-06-12,4,4,4,4,4,Formation anglais professionnel efficace. Richard travaille vraiment la communication en contexte business.,Oui,8
140,140,44,6,2,2025-06-14,5,5,5,5,5,Power BI parfaitement maîtrisé. Sarah est l'une des meilleures formatrices BI que j'ai rencontrées.,Oui,10
142,142,48,5,5,2025-06-20,5,5,5,5,5,Formation marketing digital de haut niveau. Joël est un expert inspirant et généreux dans ses conseils.,Oui,10
143,143,50,3,3,2025-06-22,4,4,4,4,4,Formation Agile de qualité. Théodore maîtrise les méthodologies et les transmet avec pédagogie.,Oui,8
144,144,2,9,10,2025-06-10,4,4,4,4,4,Formation Excel avancé satisfaisante. Félicité est patiente et attentive aux besoins des apprenants.,Oui,7
146,146,7,6,2,2025-07-14,5,5,5,5,5,Power BI excellent. Sarah est une formatrice de talent qui rend la BI accessible à tous.,Oui,10
147,147,9,3,3,2025-07-17,4,4,4,4,4,Formation Agile toujours pertinente avec Théodore. Bonne maîtrise des outils de gestion de projet.,Oui,8
148,148,11,8,6,2025-07-20,5,5,5,5,5,Angélique est une coach business remarquable. Sa formation a transformé mon rapport à l'entrepreneuriat.,Oui,10
150,150,16,10,7,2025-07-24,4,4,4,4,4,Formation anglais efficace. Richard utilise des supports modernes et des méthodes engageantes.,Oui,8
